"","Latitude","Longitude","Visibility","Mean Landings","Mean Personal","Mean Pengumpul","Mean Papalele","Mean Market","Mean On-Island","Total Landings","Total Personal","Total Pengumpul","Total Papalele","Total Market","Total On-Island","Proportion Personal","Proportion Pengumpul","Proportion Papalele","Proportion Market","Proportion On-Island","Rugosity","Dead Coral With Algae","Macroalgae","Rubble","Rock","Soft Coral","Sand","All Hard Coral","All Abiotic Substrate","NPP (Mean)","NPP (Min)","NPP (Max)","NPP (SD)","NPP (Interannual SD)","Reef Area within 5km","Wave Energy (Mean)","Wave Energy (SD)","Wave Energy (Interannual SD)","SST SD","SST 50th Percentile","SST 98th Percentile","SST 2nd Percentile","SST Kurtosis","SST Skewness","Population","Fishers","Rowboats","Motorboats"
"Rugosity",0.0752789290934948,0.159524240580399,-0.205543022643654,-0.271459020398508,-0.122996733688216,-0.323582830948941,-0.208515133216634,-0.264303548196992,-0.223627340254302,-0.386764711451204,-0.386141564763213,-0.342685733005279,-0.379469836931174,-0.368750173169169,-0.399829913944019,0.296419283299735,-0.424348679237308,-0.19841972881039,-0.328137510393701,0.121523965704763,1,0.0035777692176703,0.116123257540978,-0.217156779910977,-0.372282454417633,-0.318991289545721,-0.277662799970721,0.704090829572112,-0.375021906968774,0.199551510264973,0.189474266760009,0.213287598850871,0.338428781396834,0.361260534020099,-0.392955943221413,-0.498681649749928,-0.511501426943039,-0.469454256329148,-0.0719270542856271,-0.275628027744604,-0.418634724930865,-0.138053544451707,-0.374284623245946,-0.521029718044438,0.38449831568796,0.345564456315278,0.299332854807764,0.302656358259068
"Dead Coral With Algae",-0.082229896288303,0.332216796163174,-0.284229117182741,-0.069554335444206,-0.24716813265967,-0.24851853422408,0.0573775600233515,-0.0406292407217305,0.0153930282856218,-0.268142682365042,-0.312519004527247,-0.247013366577251,-0.248165173045794,-0.248209896383582,-0.273652565840231,-0.263404877190486,-0.244929308395806,0.219500226575856,0.10760702637412,-0.0562839649856439,0.0035777692176703,1,-0.184798971859336,-0.244738321085972,0.113629254657288,-0.239575756986414,-0.176971305538964,0.0980780607900103,-0.225088088839081,-0.146409024409605,-0.165626876247838,-0.194486514629286,-0.192504106816903,-0.0963517609942326,0.202369068968429,-0.163248567268587,-0.168898066499536,-0.16920032361185,-0.014191559529688,-0.382012967587398,-0.129942142004122,-0.20727367245372,-0.0333257998002257,-0.101766945823787,-0.107363706395462,-0.0791710530284075,0.00910036671582312,0.192858041149285
"Macroalgae",0.0244324475320011,0.038339561228836,-0.178319794751751,-0.318566727337382,0.185217251530037,-0.186904921108916,-0.3869222568687,-0.351570637141409,-0.347075075479828,-0.236577450510671,-0.21938729491773,-0.203802716007287,-0.238722472450174,-0.228350496752664,-0.246756089730676,0.618775545812357,-0.207576553396182,-0.40585925085604,-0.435087087789381,0.263670510634736,0.116123257540978,-0.184798971859336,1,-0.00917581461914216,-0.268540732197297,-0.082824698736033,0.173123747474068,0.0867084553010212,-0.0117364527489073,-0.0844824695196346,-0.0483708128188387,-0.109803749554978,-0.151975879625785,0.069166839489691,-0.123414088619719,-0.0238174186709051,-0.042158254476593,-0.022891463151056,-0.113016608112856,0.249730933877925,-0.367103431348345,-0.0250357032217952,-0.109052635083916,-0.220276187252098,0.196804260902888,0.138496507807539,0.00974175249014095,0.00723351047642081
"Rubble",0.54307367841963,-0.250615746994966,0.335830758284571,-0.303328268318055,-0.300309208110932,-0.246214307592464,-0.25748223454158,-0.27487169029617,-0.300515582292018,-0.215989458404243,0.00713016528870084,-0.241245823109141,-0.243121390722088,-0.242935055043558,-0.204521511248003,0.262764397761715,-0.274760230014388,-0.168670620782024,-0.248206044030271,0.116372892600679,-0.217156779910977,-0.244738321085972,-0.00917581461914216,1,-0.167340783000456,-0.431456663186212,0.541862517697096,-0.318707075612583,0.928957378718415,-0.347289382089742,-0.48873831007522,-0.140919339629516,-0.0498135647381917,-0.252352346144837,-0.290941439020794,-0.202729620523084,-0.161535291322785,-0.226785845800412,-0.303143259226105,0.0140073554898364,-0.0842490301436879,0.355380625608929,-0.436210793605371,0.0287984170576895,0.436041589351457,0.474711015487958,0.362486960387658,0.244254863475161
"Rock",-0.164005514441885,-0.224600300195212,0.131195558670253,0.325319949454322,0.350914360578407,0.483977409204177,0.172357481940301,0.291178137983538,0.225775853537759,0.554188436391378,0.576197469869011,0.495438704856746,0.53629196788138,0.524571349038009,0.571249994730791,-0.10232047642775,0.566611498181856,0.0806811989807732,0.274309042223394,-0.0273531538188903,-0.372282454417633,0.113629254657288,-0.268540732197297,-0.167340783000456,1,0.330036748089886,-0.292158893688661,-0.518595901109068,0.0284745565496112,0.113594099640525,0.194407791408849,0.0429079228606511,-0.0380082145816443,-0.194842671597159,0.515496320315444,0.356739952150975,0.321909276807957,0.344078222462415,0.201180005163614,0.27623470823573,0.280232670436258,-0.0230700885946358,0.352270373274882,0.107175459184672,-0.350334101413789,-0.388486805486158,-0.418086454056817,-0.43473492561318
"Soft Coral",-0.694992137040548,0.187248546286098,0.0291691525870088,0.241456893544855,0.349514431744434,0.439545710984579,0.0767951264177673,0.204927990667473,0.132313673149533,0.403305380406208,0.186172241762487,0.422710755801946,0.418515747684825,0.420481685010598,0.392334389374768,-0.186063448160542,0.496432394526053,-0.022592867973163,0.157391459294834,-0.252472807340387,-0.318991289545721,-0.239575756986414,-0.082824698736033,-0.431456663186212,0.330036748089886,1,-0.358220424932416,-0.566210932120442,-0.379855665763156,0.169651198175119,0.273250643634774,0.076648336019934,0.0238528086224651,-0.090130126581995,0.489401302334148,0.77264481503939,0.738028877472528,0.769948758688436,0.687254518944589,0.106514440837724,0.494517155560956,-0.461295226858809,0.873711510086627,0.119890133583997,-0.682678769199938,-0.677221735979314,-0.60049580052291,-0.625441026456718
"Sand",0.506872915258666,-0.40952533879973,-0.0311998990100071,-0.320616201154806,0.00526125141501412,-0.307481226616805,-0.305216258610911,-0.331075580122862,-0.296910423476287,-0.233975488272966,0.0223784731603358,-0.287126495741819,-0.255422259060204,-0.265599269417135,-0.21184865429183,0.387901196565506,-0.251003828327681,-0.165868090181705,-0.237220944745513,0.271334357633111,-0.277662799970721,-0.176971305538964,0.173123747474068,0.541862517697096,-0.292158893688661,-0.358220424932416,1,-0.193859865891033,0.725907895201334,-0.288702467048344,-0.283085659525715,-0.184305590215648,-0.262041701354174,-0.242457608582693,-0.240232453139576,-0.234449277872745,-0.225601986957148,-0.257278012185569,-0.271115617953872,-0.0447876457752978,-0.0807899584581877,0.35785363225885,-0.38991073059793,0.193668493855458,0.158872932193719,0.146606385547055,0.172235891666839,0.141645334803038
"All Hard Coral",0.199979736694829,0.113626877857445,-0.204995855783626,-0.00833190073367789,-0.188605107148987,-0.265020339632779,0.139473935899183,0.0151071846831904,0.105103863080435,-0.294759068980031,-0.315543960838332,-0.264503835126601,-0.282625273584261,-0.277498339492212,-0.303460344008361,-0.0252266797710547,-0.351443162316431,0.138240991998756,-0.00272581327327806,0.134971266259221,0.704090829572112,0.0980780607900103,0.0867084553010212,-0.318707075612583,-0.518595901109068,-0.566210932120442,-0.193859865891033,1,-0.459087051064291,0.22327284616283,0.183593006417968,0.183438763979754,0.242734408958831,0.46360561095815,-0.442363378645998,-0.608899539087443,-0.593360890640034,-0.574481302364641,-0.385412275085329,-0.121592535752448,-0.423400697493964,0.125587206648494,-0.508298447376472,-0.221691781205427,0.460245572390341,0.430816002413143,0.41023134053856,0.47588981968299
"All Abiotic Substrate",0.568092774205502,-0.412273111284811,0.279059479986151,-0.268786903715925,-0.131752931333924,-0.177210422236747,-0.269205928863092,-0.260449761606028,-0.284276130315926,-0.106364878470393,0.170083839467359,-0.162342122810096,-0.140284401042659,-0.147304651431295,-0.0843358582704193,0.324605503372998,-0.1544487987783,-0.171705363807608,-0.207891720021974,0.187660686526208,-0.375021906968774,-0.225088088839081,-0.0117364527489073,0.928957378718415,0.0284745565496112,-0.379855665763156,0.725907895201334,-0.459087051064291,1,-0.347032821416416,-0.430710353326609,-0.168016903145704,-0.150999271816366,-0.340021093474788,-0.176377491570227,-0.149865345133796,-0.124439976969575,-0.18056796494137,-0.282814618028779,0.0678320013527568,-0.0200492399384577,0.404806339885212,-0.389891228378274,0.12688712459745,0.29967222999034,0.313994741544478,0.230557479169934,0.123997740879634
"NPP (Mean)",-0.304726795905012,0.0643215129046698,-0.271386224279889,0.504150834571597,0.193126011397452,0.556204202818034,0.413327172765806,0.495296647073814,0.434960930422393,0.498392014595231,0.176724847732299,0.545061747600679,0.519887307830315,0.528478706772312,0.476297714167907,-0.25218964959789,0.50352695046966,0.144544919515411,0.308541019714152,-0.132450214156543,0.199551510264973,-0.146409024409605,-0.0844824695196346,-0.347289382089742,0.113594099640525,0.169651198175119,-0.288702467048344,0.22327284616283,-0.347032821416416,1,0.957027085017818,0.951339413876161,0.84666259779672,0.821883036919489,0.442194727775069,0.345655570215561,0.324930374918496,0.34825910104465,-0.111742417778919,0.407669308341909,0.0396885922867493,-0.0127152963967044,0.27498110041286,0.0915631732142521,-0.351000868580138,-0.358552490731002,-0.30134727383977,-0.299834401130749
"NPP (Min)",-0.386553943333102,0.0129835948936492,-0.346287554606953,0.560430729757359,0.357211449765288,0.639928092493631,0.425747285980726,0.532683116659357,0.47402138321297,0.597175770148884,0.278133043390157,0.631992348287343,0.61640540551219,0.622198961515789,0.578642295897588,-0.203479955889933,0.616145891724322,0.128185271890472,0.334257143397586,-0.0930270143907566,0.189474266760009,-0.165626876247838,-0.0483708128188387,-0.48873831007522,0.194407791408849,0.273250643634774,-0.283085659525715,0.183593006417968,-0.430710353326609,0.957027085017818,1,0.860565898902883,0.704120132420669,0.712361892951341,0.503554612587632,0.40348349129878,0.369124774996095,0.411657492645748,-0.0128722648333766,0.425433393396297,0.0872533911983552,-0.0546141839825502,0.385502296124224,0.0757832656310812,-0.457501095857525,-0.488263072389808,-0.411500812335197,-0.412204743806062
